M,iv,S,P,K,option,tau
0.875872,0.5872,8758.72,26.27616,10000.0,C,0.0219178082
0.9736744444,0.487,8763.07,166.49833,9000.0,C,0.0219178082
1.0018171429,0.4799,8765.9,271.7429,8750.0,C,0.0219178082
0.8551170732,0.6129,8764.95,17.5299,10250.0,C,0.0219178082
0.9730866667,0.4996,8757.78,170.77671,9000.0,C,0.0219178082
1.0303270588,0.4811,8757.78,135.74559,8500.0,P,0.0219178082
1.0020205714,0.4819,8767.68,271.79808,8750.0,C,0.0219178082
0.9749144444,0.4876,8774.23,171.097485,9000.0,C,0.0219178082
0.9749055556,0.488,8774.15,171.095925,9000.0,C,0.0219178082
1.0029337143,0.4797,8775.67,276.433605,8750.0,C,0.0219178082
0.878632,0.5791,8786.32,26.35896,10000.0,C,0.0219178082
0.8572019512,0.6077,8786.32,17.57264,10250.0,C,0.0219178082
0.9518702703,0.4985,8804.8,110.06,9250.0,C,0.0219178082
1.006792,0.4892,8809.43,220.23575,8750.0,P,0.0219178082
1.0076594286,0.4968,8817.02,220.4255,8750.0,P,0.0219178082
1.3048311111,0.8041,8807.61,4.403805,6750.0,P,0.0219178082
1.0364376471,0.4898,8809.72,123.33608,8500.0,P,0.0219178082
0.9787622222,0.5139,8808.86,198.19935,9000.0,C,0.0219178082
1.0363364706,0.4797,8808.86,118.91961,8500.0,P,0.0219178082
1.0384564706,0.5024,8826.88,123.57632,8500.0,P,0.0219178082
0.9559254054,0.509,8842.31,123.79234,9250.0,C,0.0219178082
1.0110125714,0.5026,8846.36,322.89214,8750.0,C,0.0219178082
0.9829288889,0.4775,8846.36,327.31532,9000.0,P,0.0219178082
0.9832644444,0.5001,8849.38,207.96043,9000.0,C,0.0219178082
0.9839888889,0.4948,8855.9,208.11365,9000.0,C,0.0219178082
1.0419929412,0.4896,8856.94,110.71175,8500.0,P,0.0219178082
0.9851211111,0.4949,8866.09,212.78616,9000.0,C,0.0219178082
0.9853611111,0.4921,8868.25,212.838,9000.0,C,0.0219178082
0.9864988889,0.4903,8878.49,217.523005,9000.0,C,0.0219178082
0.9866266667,0.4907,8879.64,217.55118,9000.0,C,0.0219178082
1.0136525714,0.4713,8869.46,186.25866,8750.0,P,0.0219178082
0.9104748718,0.5384,8877.13,48.824215,9750.0,C,0.0219178082
0.9860711111,0.4904,8874.64,319.48704,9000.0,P,0.0219178082
1.0148708571,0.4717,8880.12,182.04246,8750.0,P,0.0219178082
1.0148685714,0.4716,8880.1,182.04205,8750.0,P,0.0219178082
0.88682,0.5802,8868.2,33.69916,10000.0,C,0.0219178082
0.7879573333,0.697,8864.52,4.43226,11250.0,C,0.0219178082
0.9843322222,0.5102,8858.99,217.045255,9000.0,C,0.0219178082
1.0422341176,0.4832,8858.99,106.30788,8500.0,P,0.0219178082
0.9577286486,0.4967,8858.99,124.02586,9250.0,C,0.0219178082
1.0738169697,0.5051,8858.99,57.583435,8250.0,P,0.0219178082
0.9325252632,0.5158,8858.99,75.301415,9500.0,C,0.0219178082
1.10737375,0.5541,8858.99,35.43596,8000.0,P,0.0219178082
1.1430954839,0.5746,8858.99,17.71798,7750.0,P,0.0219178082
0.885899,0.5513,8858.99,26.57697,10000.0,C,0.0219178082
1.1811986667,0.6465,8858.99,13.288485,7500.0,P,0.0219178082
1.2219296552,0.7947,8858.99,17.71798,7250.0,P,0.0219178082
0.8437133333,0.6232,8858.99,13.288485,10500.0,C,0.0219178082
0.824092093,0.6469,8858.99,8.85899,10750.0,C,0.0219178082
1.2653685714,0.7244,8857.58,4.42879,7000.0,P,0.0219178082
0.9854222222,0.4851,8868.8,319.2768,9000.0,P,0.0219178082
0.9854222222,0.4851,8868.8,319.2768,9000.0,P,0.0219178082
0.9854222222,0.4851,8868.8,319.2768,9000.0,P,0.0219178082
0.9856266667,0.478,8870.64,314.90772,9000.0,P,0.0219178082
0.9861733333,0.4897,8875.56,213.01344,9000.0,C,0.0219178082
0.9864033333,0.4781,8877.63,310.71705,9000.0,P,0.0219178082
0.9595048649,0.4872,8875.42,124.25588,9250.0,C,0.0219178082
0.9595048649,0.4872,8875.42,124.25588,9250.0,C,0.0219178082
0.9860844444,0.4763,8874.76,310.6166,9000.0,P,0.0219178082
1.182968,0.6522,8872.26,13.30839,7500.0,P,0.0219178082
0.8662009756,0.6046,8878.56,22.1964,10250.0,C,0.0219178082
0.8456352381,0.652,8879.17,17.75834,10500.0,C,0.0219178082
1.11085,0.5473,8886.8,31.1038,8000.0,P,0.0219178082
1.0767551515,0.5041,8883.23,53.29938,8250.0,P,0.0219178082
1.0194982857,0.4886,8920.61,356.8244,8750.0,C,0.0219178082
0.9653545946,0.4888,8929.53,142.87248,9250.0,C,0.0219178082
0.9922333333,0.5119,8930.1,250.0428,9000.0,C,0.0219178082
1.0506,0.485,8930.1,89.301,8500.0,P,0.0219178082
1.231737931,0.7792,8930.1,13.39515,7250.0,P,0.0219178082
0.8307069767,0.6264,8930.1,8.9301,10750.0,C,0.0219178082
0.892953,0.5833,8929.53,40.182885,10000.0,C,0.0219178082
0.915745641,0.5319,8928.52,53.57112,9750.0,C,0.0219178082
1.116675,0.5872,8933.4,35.7336,8000.0,P,0.0219178082
0.9412031579,0.5297,8941.43,98.35573,9500.0,C,0.0219178082
0.9945066667,0.4797,8950.56,241.66512,9000.0,C,0.0219178082
0.9946455556,0.4939,8951.81,250.65068,9000.0,C,0.0219178082
0.9943522222,0.4718,8949.17,237.153005,9000.0,C,0.0219178082
1.0208114286,0.4787,8932.1,165.24385,8750.0,P,0.0219178082
0.91608,0.5452,8931.78,58.05657,9750.0,C,0.0219178082
0.9929788889,0.4737,8936.81,232.35706,9000.0,C,0.0219178082
0.9934522222,0.4797,8941.07,236.938355,9000.0,C,0.0219178082
1.0523752941,0.4824,8945.19,84.979305,8500.0,P,0.0219178082
0.9932988889,0.4765,8939.69,277.13039,9000.0,P,0.0219178082
1.020464,0.4675,8929.06,357.1624,8750.0,C,0.0219178082
1.0501564706,0.4942,8926.33,93.726465,8500.0,P,0.0219178082
0.9648854054,0.4715,8925.19,437.33431,9250.0,P,0.0219178082
1.020288,0.4692,8927.52,357.1008,8750.0,C,0.0219178082
0.9912033333,0.4804,8920.83,227.481165,9000.0,C,0.0219178082
1.0200217143,0.4903,8925.19,174.041205,8750.0,P,0.0219178082
1.0200411429,0.4907,8925.36,174.04452,8750.0,P,0.0219178082
1.0200411429,0.4718,8925.36,357.0144,8750.0,C,0.0219178082
1.0201554286,0.4718,8926.36,357.0544,8750.0,C,0.0219178082
1.0201554286,0.4718,8926.36,357.0544,8750.0,C,0.0219178082
1.0201554286,0.4718,8926.36,357.0544,8750.0,C,0.0219178082
1.0201554286,0.4718,8926.36,357.0544,8750.0,C,0.0219178082
1.0201554286,0.4718,8926.36,357.0544,8750.0,C,0.0219178082
1.082529697,0.5293,8930.87,53.58522,8250.0,P,0.0219178082
1.2769571429,0.7513,8938.7,4.46935,7000.0,P,0.0219178082
1.1537470968,0.6079,8941.54,17.88308,7750.0,P,0.0219178082
