price,date_str
7412.41,2019-10-24
7466.62,2019-10-23
8020.0,2019-10-22
8197.27,2019-10-21
8223.35,2019-10-20
7948.01,2019-10-19
7947.01,2019-10-18
8070.58,2019-10-17
7991.74,2019-10-16
8159.29,2019-10-15
8348.2,2019-10-14
8275.01,2019-10-13
8300.09,2019-10-12
8258.5,2019-10-11
8558.03,2019-10-10
8560.74,2019-10-09
8168.39,2019-10-08
8190.09,2019-10-07
7854.25,2019-10-06
8126.19,2019-10-05
8137.13,2019-10-04
8223.96,2019-10-03
8359.94,2019-10-02
8292.44,2019-10-01
8289.34,2019-09-30
8043.82,2019-09-29
8198.81,2019-09-28
8177.91,2019-09-27
8063.73,2019-09-26
8430.05,2019-09-25
8493.14,2019-09-24
9702.25,2019-09-23
10028.87,2019-09-22
9986.39,2019-09-21
10168.59,2019-09-20
10244.29,2019-09-19
10156.99,2019-09-18
10187.82,2019-09-17
10251.31,2019-09-16
10302.01,2019-09-15
10335.02,2019-09-14
10342.06,2019-09-13
10415.01,2019-09-12
10158.33,2019-09-11
10098.15,2019-09-10
10303.12,2019-09-09
10381.18,2019-09-08
10455.88,2019-09-07
10298.73,2019-09-06
10564.49,2019-09-05
10567.02,2019-09-04
10615.28,2019-09-03
10340.0,2019-09-02
9724.98,2019-09-01
9587.47,2019-08-31
9584.54,2019-08-30
9498.44,2019-08-29
9721.0,2019-08-28
10185.05,2019-08-27
10372.25,2019-08-26
10142.69,2019-08-25
10134.35,2019-08-24
10389.55,2019-08-23
10099.88,2019-08-22
10142.57,2019-08-21
10760.51,2019-08-20
10915.54,2019-08-19
10306.78,2019-08-18
10216.02,2019-08-17
10331.54,2019-08-16
10293.93,2019-08-15
10050.37,2019-08-14
10892.71,2019-08-13
11396.08,2019-08-12
11549.97,2019-08-11
11309.31,2019-08-10
11879.99,2019-08-09
11999.77,2019-08-08
11975.03,2019-08-07
11481.69,2019-08-06
11828.8,2019-08-05
10929.23,2019-08-04
10816.86,2019-08-03
10523.75,2019-08-02
10374.99,2019-08-01
10080.53,2019-07-31
9574.21,2019-07-30
9507.64,2019-07-29
9541.54,2019-07-28
9476.52,2019-07-27
9824.0,2019-07-26
9879.87,2019-07-25
9763.28,2019-07-24
9864.91,2019-07-23
10340.31,2019-07-22
10589.45,2019-07-21
10740.23,2019-07-20
10504.29,2019-07-19
10627.16,2019-07-18
9667.92,2019-07-17
9439.59,2019-07-16
10838.72,2019-07-15
10174.18,2019-07-14
11355.76,2019-07-13
11757.22,2019-07-12
11342.89,2019-07-11
12108.37,2019-07-10
12543.41,2019-07-09
12238.6,2019-07-08
11406.24,2019-07-07
11256.49,2019-07-06
10970.73,2019-07-05
11145.67,2019-07-04
11940.0,2019-07-03
10842.85,2019-07-02
10624.93,2019-07-01
10854.1,2019-06-30
11903.13,2019-06-29
12400.63,2019-06-28
11329.99,2019-06-27
13093.8,2019-06-26
11820.86,2019-06-25
11056.59,2019-06-24
10906.07,2019-06-23
10729.5,2019-06-22
10159.86,2019-06-21
9517.12,2019-06-20
9255.49,2019-06-19
9081.55,2019-06-18
9313.96,2019-06-17
8953.33,2019-06-16
8808.7,2019-06-15
8650.0,2019-06-14
8218.54,2019-06-13
8127.64,2019-06-12
7884.9,2019-06-11
7982.75,2019-06-10
7628.13,2019-06-09
7893.62,2019-06-08
7980.53,2019-06-07
7786.7,2019-06-06
7776.5,2019-06-05
7687.03,2019-06-04
8115.82,2019-06-03
8725.98,2019-06-02
8544.07,2019-06-01
8555.0,2019-05-31
8269.54,2019-05-30
8645.68,2019-05-29
8715.64,2019-05-28
8756.32,2019-05-27
8614.43,2019-05-26
8025.41,2019-05-25
7964.87,2019-05-24
7851.51,2019-05-23
7628.43,2019-05-22
7904.87,2019-05-21
7938.15,2019-05-20
8148.48,2019-05-19
7257.45,2019-05-18
7355.26,2019-05-17
7866.59,2019-05-16
8169.87,2019-05-15
7947.56,2019-05-14
7790.71,2019-05-13
6967.31,2019-05-12
7076.22,2019-05-11
6373.33,2019-05-10
6209.18,2019-05-09
5987.29,2019-05-08
5846.34,2019-05-07
5747.79,2019-05-06
5775.62,2019-05-05
5829.45,2019-05-04
5772.69,2019-05-03
5492.87,2019-05-02
5383.2,2019-05-01
5320.81,2019-04-30
5238.14,2019-04-29
5307.52,2019-04-28
5295.69,2019-04-27
5314.1,2019-04-26
5219.9,2019-04-25
5415.0,2019-04-24
5493.31,2019-04-23
5357.14,2019-04-22
5256.14,2019-04-21
5291.73,2019-04-20
5258.68,2019-04-19
5258.44,2019-04-18
5202.82,2019-04-17
5173.72,2019-04-16
5024.95,2019-04-15
5131.3,2019-04-14
5045.22,2019-04-13
5048.01,2019-04-12
5017.37,2019-04-11
5308.25,2019-04-10
5150.0,2019-04-09
5236.9,2019-04-08
5170.27,2019-04-07
5043.89,2019-04-06
5004.95,2019-04-05
4898.66,2019-04-04
4932.6,2019-04-03
4857.29,2019-04-02
4144.56,2019-04-01
4103.95,2019-03-31
4106.97,2019-03-30
4103.25,2019-03-29
4027.81,2019-03-28
4038.05,2019-03-27
3948.55,2019-03-26
3936.12,2019-03-25
3992.18,2019-03-24
4006.01,2019-03-23
3986.93,2019-03-22
3980.64,2019-03-21
4043.04,2019-03-20
4015.53,2019-03-19
3987.81,2019-03-18
3981.14,2019-03-17
4005.98,2019-03-16
3923.76,2019-03-15
3877.12,2019-03-14
3866.0,2019-03-13
3882.73,2019-03-12
3871.61,2019-03-11
3916.82,2019-03-10
3943.04,2019-03-09
3864.89,2019-03-08
3873.64,2019-03-07
3861.84,2019-03-06
3857.73,2019-03-05
3715.3,2019-03-04
3807.75,2019-03-03
3819.93,2019-03-02
3823.0,2019-03-01
3813.69,2019-02-28
3818.07,2019-02-27
3809.23,2019-02-26
3827.92,2019-02-25
3743.56,2019-02-24
4117.76,2019-02-23
3962.0,2019-02-22
3937.31,2019-02-21
3969.74,2019-02-20
3907.79,2019-02-19
3898.6,2019-02-18
3667.58,2019-02-17
3618.41,2019-02-16
3602.47,2019-02-15
3590.56,2019-02-14
3609.4,2019-02-13
3631.46,2019-02-12
3631.05,2019-02-11
